0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:23:03 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:23:15 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:23:15 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:23:15 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:28:29 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 500 3910
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:28:29 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:29:00 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:29:00 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:29:00 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:29:04 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1554
